# World cities >=100k population, from GeoNames cities15000 (CC-BY 4.0, geonames.org)
# name	ascii	country_code	timezone	population
Shanghai	Shanghai	CN	Asia/Shanghai	24874500
Beijing	Beijing	CN	Asia/Shanghai	18960744
Shenzhen	Shenzhen	CN	Asia/Shanghai	17494398
Guangzhou	Guangzhou	CN	Asia/Shanghai	16096724
Kinshasa	Kinshasa	CD	Africa/Kinshasa	16000000
Istanbul	Istanbul	TR	Europe/Istanbul	15701602
Lagos	Lagos	NG	Africa/Lagos	15388000
Ho Chi Minh City	Ho Chi Minh City	VN	Asia/Ho_Chi_Minh	14002598
Chengdu	Chengdu	CN	Asia/Shanghai	13568357
Lahore	Lahore	PK	Asia/Karachi	13004135
Mumbai	Mumbai	IN	Asia/Kolkata	12691836
São Paulo	Sao Paulo	BR	America/Sao_Paulo	12400232
Mexico City	Mexico City	MX	America/Mexico_City	12294193
Karachi	Karachi	PK	Asia/Karachi	11624219
Tianjin	Tianjin	CN	Asia/Shanghai	11090314
Delhi	Delhi	IN	Asia/Kolkata	11034555
Wuhan	Wuhan	CN	Asia/Shanghai	10392693
Moscow	Moscow	RU	Europe/Moscow	10381222
Dhaka	Dhaka	BD	Asia/Dhaka	10356500
Seoul	Seoul	KR	Asia/Seoul	10349312
Tokyo	Tokyo	JP	Asia/Tokyo	9733276
Dongguan	Dongguan	CN	Asia/Shanghai	9644871
Cairo	Cairo	EG	Africa/Cairo	9606916
Xi’an	Xi'an	CN	Asia/Shanghai	9600000
Johannesburg	Johannesburg	ZA	Africa/Johannesburg	9418183
Nanjing	Nanjing	CN	Asia/Shanghai	9314685
Hangzhou	Hangzhou	CN	Asia/Shanghai	9236032
Foshan	Foshan	CN	Asia/Shanghai	9042509
London	London	GB	Europe/London	8961989
New York City	New York City	US	America/New_York	8804190
Jakarta	Jakarta	ID	Asia/Jakarta	8540121
Bengaluru	Bengaluru	IN	Asia/Kolkata	8495492
Hanoi	Hanoi	VN	Asia/Bangkok	8053663
Taipei	Taipei	TW	Asia/Taipei	7871900
Lima	Lima	PE	America/Lima	7737002
Bogotá	Bogota	CO	America/Bogota	7674366
Chongqing	Chongqing	CN	Asia/Shanghai	7457599
Hong Kong	Hong Kong	HK	Asia/Hong_Kong	7396076
Baghdad	Baghdad	IQ	Asia/Baghdad	7216000
Wuzhong	Wuzhong	CN	Asia/Shanghai	7202654
Qingdao	Qingdao	CN	Asia/Shanghai	7172451
Tehran	Tehran	IR	Asia/Tehran	7153309
Shenyang	Shenyang	CN	Asia/Shanghai	7050000
Hyderabad	Hyderabad	IN	Asia/Kolkata	6993262
Rio de Janeiro	Rio de Janeiro	BR	America/Sao_Paulo	6747815
Suzhou	Suzhou	CN	Asia/Shanghai	6715559
Puxi	Puxi	CN	Asia/Shanghai	6683712
Ahmedabad	Ahmedabad	IN	Asia/Kolkata	6357693
Abidjan	Abidjan	CI	Africa/Abidjan	6321017
Pudong	Pudong	CN	Asia/Shanghai	5681512
Sydney	Sydney	AU	Australia/Sydney	5638830
Singapore	Singapore	SG	Asia/Singapore	5638700
Melbourne	Melbourne	AU	Australia/Melbourne	5435590
Dar es Salaam	Dar es Salaam	TZ	Africa/Dar_es_Salaam	5383728
Saint Petersburg	Saint Petersburg	RU	Europe/Moscow	5351935
Alexandria	Alexandria	EG	Africa/Cairo	5263542
Harbin	Harbin	CN	Asia/Shanghai	5242897
Bangkok	Bangkok	TH	Asia/Bangkok	5104476
Hefei	Hefei	CN	Asia/Shanghai	5050000
Dalian	Dalian	CN	Asia/Shanghai	4913879
Kano	Kano	NG	Africa/Lagos	4910000
Santiago	Santiago	CL	America/Santiago	4837295
Cape Town	Cape Town	ZA	Africa/Johannesburg	4772846
Peshawar	Peshawar	PK	Asia/Karachi	4758762
Changchun	Changchun	CN	Asia/Shanghai	4714996
Jeddah	Jeddah	SA	Asia/Riyadh	4697000
Chennai	Chennai	IN	Asia/Kolkata	4681087
Kolkata	Kolkata	IN	Asia/Kolkata	4631392
Xiamen	Xiamen	CN	Asia/Shanghai	4617251
Surat	Surat	IN	Asia/Kolkata	4591246
Yangon	Yangon	MM	Asia/Yangon	4477638
Bao'an	Bao'an	CN	Asia/Shanghai	4476554
Kabul	Kabul	AF	Asia/Kabul	4434550
Nairobi	Nairobi	KE	Africa/Nairobi	4397073
Wuxi	Wuxi	CN	Asia/Shanghai	4396835
Giza	Giza	EG	Africa/Cairo	4367343
Jinan	Jinan	CN	Asia/Shanghai	4335989
Taiyuan	Taiyuan	CN	Asia/Shanghai	4303673
Zhengzhou	Zhengzhou	CN	Asia/Shanghai	4253913
Bamako	Bamako	ML	Africa/Bamako	4227569
Riyadh	Riyadh	SA	Asia/Riyadh	4205961
New Taipei City	New Taipei City	TW	Asia/Taipei	4004367
New Territories	New Territories	HK	Asia/Hong_Kong	3984077
Shijiazhuang	Shijiazhuang	CN	Asia/Shanghai	3938513
Chattogram	Chattogram	BD	Asia/Dhaka	3920222
Addis Ababa	Addis Ababa	ET	Africa/Addis_Ababa	3860000
Kunming	Kunming	CN	Asia/Shanghai	3855346
Zhongshan	Zhongshan	CN	Asia/Shanghai	3841873
Nanning	Nanning	CN	Asia/Shanghai	3839800
Shantou	Shantou	CN	Asia/Shanghai	3838900
Los Angeles	Los Angeles	US	America/Los_Angeles	3820914
Faisalabad	Faisalabad	PK	Asia/Karachi	3800193
Dubai	Dubai	AE	Asia/Dubai	3790000
Yokohama	Yokohama	JP	Asia/Tokyo	3777491
Fuzhou	Fuzhou	CN	Asia/Shanghai	3740000
Ningbo	Ningbo	CN	Asia/Shanghai	3731203
Casablanca	Casablanca	MA	Africa/Casablanca	3665954
Ibadan	Ibadan	NG	Africa/Lagos	3649000
Puyang	Puyang	CN	Asia/Shanghai	3590000
Ankara	Ankara	TR	Europe/Istanbul	3517182
Shiyan	Shiyan	CN	Asia/Shanghai	3460000
Berlin	Berlin	DE	Europe/Berlin	3426354
Tangshan	Tangshan	CN	Asia/Shanghai	3372102
Rawalpindi	Rawalpindi	PK	Asia/Karachi	3357612
Lüliang	Lueliang	CN	Asia/Shanghai	3346500
Durban	Durban	ZA	Africa/Johannesburg	3338026
Changzhou	Changzhou	CN	Asia/Shanghai	3290918
Busan	Busan	KR	Asia/Seoul	3285147
Madrid	Madrid	ES	Europe/Madrid	3255944
Pyongyang	Pyongyang	KP	Asia/Pyongyang	3222000
Zibo	Zibo	CN	Asia/Shanghai	3129228
Pune	Pune	IN	Asia/Kolkata	3124458
Bursa	Bursa	TR	Europe/Istanbul	3101833
Changsha	Changsha	CN	Asia/Shanghai	3093980
Quezon City	Quezon City	PH	Asia/Manila	3084270
Jaipur	Jaipur	IN	Asia/Kolkata	3046163
Guiyang	Guiyang	CN	Asia/Shanghai	3037159
Ürümqi	UEruemqi	CN	Asia/Urumqi	3029372
Surabaya	Surabaya	ID	Asia/Jakarta	3018022
Incheon	Incheon	KR	Asia/Seoul	3015482
Lanzhou	Lanzhou	CN	Asia/Shanghai	3000000
Caracas	Caracas	VE	America/Caracas	3000000
Kyiv	Kyiv	UA	Europe/Kyiv	2952301
İzmir	Izmir	TR	Europe/Istanbul	2938292
Huizhou	Huizhou	CN	Asia/Shanghai	2900113
Buenos Aires	Buenos Aires	AR	America/Argentina/Buenos_Aires	2891082
Haikou	Haikou	CN	Asia/Shanghai	2873358
Taichung	Taichung	TW	Asia/Taipei	2850285
